timestamp,cpu_user_ticks,cpu_system_ticks,memory_bytes,rx_bytes,tx_bytes
1755265825,0,0,5316608,0,0
1755265826,0,0,5316608,517925,314527
1755265827,0,0,5316608,1404434,831556
1755265828,0,0,5316608,2602315,1535939
1755265829,0,0,5316608,3887500,2308002
1755265830,0,0,5316608,4969499,2955391
1755265831,0,0,5316608,5663314,3436942
1755265832,0,0,5316608,6614583,4061926
1755265833,0,0,5316608,7389498,4594057
1755265834,0,0,5316608,8256945,5172832
1755265835,0,0,5316608,8960776,5678351
1755265836,0,0,5316608,9552021,6123279
1755265837,0,0,5316608,10172204,6610514
1755265838,0,0,5316608,11038440,7231080
1755265839,0,0,5316608,12115989,7958386
1755265840,0,0,5316608,13064381,8618797
1755265841,0,0,5316608,13881614,9237246
1755265842,0,0,5316608,14648834,9809160
1755265843,0,0,5316608,15355315,10353743
1755265844,0,0,5316608,16065225,10908618
1755265845,0,0,5316608,16753604,11460136
1755265846,0,0,5316608,17450164,12016258
1755265847,0,0,5316608,18155697,12570341
1755265848,0,0,5316608,18840504,13114650
1755265849,0,0,5316608,19529432,13666467
1755265850,0,0,5316608,20241702,14228341
1755265851,0,0,5316608,20923130,14782197
1755265852,0,0,5316608,21631834,15339483
1755265853,0,0,5316608,22321313,15886568
1755265854,0,0,5316608,23029780,16453111
1755265855,0,0,5316608,23750473,17015796
1755265856,0,0,5316608,24452597,17576360
1755265857,0,0,5316608,25132825,18125280
1755265858,0,0,5316608,25825082,18683063
1755265859,0,0,5316608,26526069,19246117
1755265860,0,0,5316608,27212248,19795366
1755265861,0,0,5316608,27907871,20350246
1755265862,0,0,5316608,28618521,20901695
1755265863,0,0,5316608,29315138,21457228
1755265864,0,0,5316608,30024415,22021287
1755265866,0,0,5316608,30723242,22575887
1755265867,0,0,5316608,31419478,23128872
1755265868,0,0,5316608,32117199,23685522
1755265869,0,0,5316608,32815046,24237303
1755265870,0,0,5316608,33508963,24794458
1755265871,0,0,5316608,34209915,25345900
1755265872,0,0,5316608,34916598,25902797
1755265873,0,0,5316608,35626654,26464707
1755265874,0,0,5316608,36329917,27022788
1755265875,0,0,5316608,37021435,27579465
1755265876,0,0,5316608,37736205,28145953
1755265877,0,0,5316608,38438304,28700962
1755265878,0,0,5316608,39128678,29266100
1755265879,0,0,5316608,39832574,29822534
1755265880,0,0,5316608,40531984,30381357
1755265881,0,0,5316608,41227663,30933845
1755265882,0,0,5316608,41925841,31487132
1755265883,0,0,5316608,42619347,32044804
1755265884,0,0,5316608,43312623,32596222
1755265885,0,0,5316608,44026319,33161672
