timestamp_ms,cpu_ms_per_sec,memory_bytes
1755335969,0,9170944
1755335970,180,11399168
1755335971,100,15425536
1755335972,100,22568960
1755335973,70,19767296
1755335974,80,20574208
1755335975,100,21217280
1755335976,120,29810688
1755335977,120,30404608
1755335978,150,30744576
1755335979,150,31133696
1755335980,190,31604736
1755335981,220,32083968
1755335982,210,32354304
1755335983,250,32501760
1755335984,250,49045504
1755335985,250,50675712
1755335986,270,52740096
1755335987,290,54407168
1755335988,350,57978880
1755335989,310,60854272
1755335990,320,64425984
1755335991,330,67739648
1755335992,330,70803456
1755335993,320,75034624
1755335994,340,81489920
1755335995,320,89370624
1755335996,320,99377152
1755335997,320,110641152
1755335998,310,123985920
1755335999,290,124076032
1755336000,280,124420096
1755336001,180,34971648
