timestamp,CPU_usec,Mem_used_bytes
1755267127,7749408,99717120
1755267128,7800150,100397056
1755267129,7857447,100741120
1755267130,7923087,101187584
1755267131,7988907,102043648
1755267132,8050396,103194624
1755267133,8128324,111325184
1755267134,8209206,117932032
1755267135,8292774,125923328
1755267136,8351345,132702208
1755267137,8402297,136675328
1755267138,8491633,139988992
1755267139,8544619,141299712
1755267140,8596266,141217792
1755267141,8663494,141361152
1755267142,8706659,141967360
1755267143,8765912,141099008
1755267144,8808507,141844480
1755267145,8842721,141164544
1755267146,8873986,141557760
1755267147,8929067,142131200
1755267148,8970817,142057472
1755267149,9015069,141533184
1755267150,9079551,141651968
1755267151,9136649,141590528
1755267152,9195952,141500416
1755267153,9239584,141234176
1755267154,9299894,141844480
1755267155,9386261,141381632
1755267156,9451647,141668352
1755267157,9528596,141660160
1755267158,9607199,142163968
1755267159,9693476,141725696
1755267160,9765327,141438976
1755267161,9803195,142880768
1755267162,9844371,142393344
1755267163,9901198,141717504
1755267164,9961789,141606912
1755267165,10009903,142069760
1755267166,10053551,141889536
1755267167,10098169,141377536
1755267168,10144234,141987840
1755267169,10222759,141561856
1755267170,10280791,141262848
1755267171,10337661,141434880
1755267172,10413621,141336576
1755267173,10467400,141369344
1755267174,10519034,141176832
1755267175,10564357,142635008
1755267176,10620880,141312000
1755267177,10669882,141705216
1755267178,10713429,141344768
1755267179,10756783,141959168
1755267180,10827233,141889536
1755267181,10863344,141643776
1755267182,10910403,141832192
1755267183,10952659,141893632
1755267184,10993258,141410304
1755267185,11054963,142688256
1755267186,11126776,142508032
1755267187,11204883,141369344
